filename,chroma_stft_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,label,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,original_wav
75_-30_2.4__4-chunk_0000.wav,0.37395784,2239.723065431718,1844.2544484636078,3714.722234552557,0.13478781960227273,NO_drone,-715.6176,58.950436,98.52722,64.86225,1.1689235,21.297022,37.811455,41.273262,-29.253029,30.69713,-7.3129363,23.454536,-13.626283,12.318139,-2.6224196,11.385686,-7.133777,11.6744995,-2.0100293,8.852485,-2.0935297,6.683198,-3.5828276,10.291365,-4.6795845,9.071601,75_-30_2.4__4.wav
75_-30_2.4__4-chunk_0001.wav,0.39245158,1884.6507351666537,2098.069670991998,3573.107379415761,0.08956776494565218,NO_drone,-740.51276,68.58137,118.92442,34.453846,11.495135,28.263214,14.177446,19.800505,-32.987526,18.084658,-14.967183,18.462008,-19.242495,14.434948,-2.5143855,8.957845,0.35807925,8.230433,2.6227558,9.331802,0.41447064,6.811358,3.4347441,6.8876677,-7.249417,7.5604177,75_-30_2.4__4.wav
90_-15_1.2__5-chunk_0000.wav,0.33345082,1530.7443818183708,1529.7667857293739,2762.856778231534,0.0836181640625,NO_drone,-633.1081,75.77863,147.30066,50.49976,-20.945612,27.426563,33.594707,29.602222,-23.850023,22.052015,-27.11336,20.084627,-12.255367,10.395777,-4.0381274,11.034433,-9.149525,7.321462,-8.715664,7.349597,-8.3643,15.640787,-7.531696,12.593224,4.07293,8.580901,90_-15_1.2__5.wav
90_-15_1.2__5-chunk_0001.wav,0.46930695,2310.8205227822427,1850.895598608037,3975.216542119565,0.17569633152173914,NO_drone,-659.4609,72.27944,109.30005,62.68309,-14.136735,11.8653,40.40853,26.335463,-43.705482,18.468754,-20.084366,23.591219,-7.6684847,16.612162,7.7092104,10.600077,-6.495755,13.217998,-1.4452053,8.639663,2.8913805,7.1274757,0.32662416,4.6225653,4.6745973,6.480053,90_-15_1.2__5.wav
90_0_1.2__5-chunk_0000.wav,0.29657128,1793.8936025724245,1693.660696718964,3180.062588778409,0.10232821377840909,NO_drone,-607.37683,68.93985,125.70478,49.26154,-15.5308895,27.834297,36.47389,27.383821,-28.811806,22.529026,-16.48218,20.345402,-37.336838,11.339844,6.965742,11.877847,-14.303898,7.9874926,-8.314393,8.389408,-11.565548,16.968124,-12.824612,12.101583,8.903622,9.142467,90_0_1.2__5.wav
90_0_1.2__5-chunk_0001.wav,0.43727782,2997.779261454189,1938.186242998206,4938.470137746711,0.25323807565789475,NO_drone,-624.97174,52.422153,89.478096,71.43814,-4.061052,15.051994,45.549763,24.338217,-57.310104,14.002107,-7.705098,27.189127,-37.07887,17.84313,20.822088,12.634332,-16.623089,11.315472,-3.7583587,11.707306,-2.4361231,6.9717665,-7.6224318,3.6286762,11.468168,6.24693,90_0_1.2__5.wav
75_-30_1.2-chunk_0000.wav,0.5457603,4384.29498277286,2517.504307923681,6919.009676846591,0.36421342329545453,NO_drone,-406.29382,32.325108,11.903663,3.455499,11.33592,3.1538186,35.02268,3.4338567,-45.869946,2.9983938,-5.7799053,3.181429,-10.3824215,3.2379043,-4.795949,3.3526058,-3.2558444,2.4926379,-9.796938,3.2890368,-8.038781,3.7922454,-1.4017692,3.7896178,-11.447304,3.4789863,75_-30_1.2.wav
75_-30_1.2-chunk_0001.wav,0.54104817,4396.592618167672,2506.6074096565517,6919.988458806818,0.3703280362215909,NO_drone,-400.40967,7.157563,11.755255,3.097619,9.923793,2.977699,33.31371,3.2655919,-46.268127,2.5591562,-4.4031014,3.018672,-11.784775,2.8502371,-6.602548,2.7901225,-3.3550537,3.6096053,-8.903428,3.956438,-6.9577146,3.2238016,-0.4528758,3.0640492,-10.982166,2.3380902,75_-30_1.2.wav
75_-30_1.2-chunk_0002.wav,0.5708202,3489.273868636117,3006.3879967001108,7170.556640625,0.16124131944444445,NO_drone,-683.2474,174.85385,50.683144,25.525892,22.71161,11.230964,21.103193,5.192451,-11.402646,20.709145,8.953788,7.991802,-2.4150567,6.163662,0.5365117,6.6856995,0.94454193,5.5320315,5.2389393,8.130619,3.7738538,5.867953,7.063958,5.3301606,-3.0202,11.040317,75_-30_1.2.wav
60_-30_1.2-chunk_0000.wav,0.5722234,4740.126222627449,2762.8860185870053,8147.136341441761,0.3898370916193182,NO_drone,-401.35062,34.322884,7.8003173,2.9554846,16.09098,3.329863,24.611645,2.6513412,-40.93832,3.1230934,-9.470782,3.7293978,1.2469163,2.708788,-20.572474,3.5626247,4.3675284,2.8867424,-8.60332,2.411531,-8.379641,2.805756,3.2536652,3.0024796,-19.893303,3.1524808,60_-30_1.2.wav
60_-30_1.2-chunk_0001.wav,0.5713771,4728.823904783386,2755.492452176503,8113.123668323864,0.39591841264204547,NO_drone,-395.70837,8.43618,7.4348574,2.805563,13.520884,3.3202991,23.365015,3.594037,-42.24995,2.7513285,-11.1384115,2.532603,1.3365948,2.8972769,-18.515205,2.9490235,2.505359,3.8476217,-10.747962,3.375676,-10.381632,3.6314578,2.61123,2.025288,-19.311703,2.6388211,60_-30_1.2.wav
60_-30_1.2-chunk_0002.wav,0.59651685,3572.4116505769584,2997.8226877177917,7279.4189453125,0.1688910590277778,NO_drone,-683.3052,175.92828,46.93364,30.288103,20.972025,6.1635013,24.63879,5.512834,-11.288133,17.516624,2.8747091,7.4319468,3.6791954,3.8571875,7.1790414,12.238243,8.017091,2.5193932,3.7609317,6.183555,-1.89812,7.5374303,5.1155806,3.4770863,3.2258072,12.420438,60_-30_1.2.wav
45_-30_2.4__4-chunk_0000.wav,0.39726037,2155.5418525143405,2005.6354580762454,3832.665460759943,0.13676313920454544,NO_drone,-734.36914,55.210194,111.682304,61.37772,15.226945,16.786486,15.625137,38.317192,-24.018219,26.21159,-0.593762,21.300697,-21.362562,12.214649,-0.72541744,11.415431,-11.285889,9.24601,3.040947,7.265753,-1.8253621,6.232866,-7.4390965,11.169285,-1.1906463,9.483334,45_-30_2.4__4.wav
45_-30_2.4__4-chunk_0001.wav,0.36648864,1794.1907787039095,1995.5343632618274,3110.009765625,0.0900297619047619,NO_drone,-742.0477,55.722366,126.019844,44.04482,24.37906,24.601585,2.2482023,22.284271,-31.10709,17.446484,-6.4218664,27.332075,-28.308748,14.700893,-2.239685,9.791838,-4.9365225,7.948489,5.087416,8.438173,0.73405564,6.3977656,0.09564818,6.16756,-4.454946,7.006206,45_-30_2.4__4.wav
